brand,model,price,msrp
audi,e-tron,89820,87595.0
bmw,i3,55095,55000.0
chevrolet,bolt ev,46100,30670.0
fiat,500e,14999,38000.0
hyundai,ioniq electric,40579,58100.0
hyundai,kona electric,53590,41045.0
jaguar,i-pace,92917,80000.0
kia,niro ev,47565,44600.0
kia,soul ev,19990,38000.0
mercedes-benz,b-class,21850,49200.0
nissan,leaf,46180,36190.0
porsche,taycan,226950,230000.0
tesla,model 3,59800,71990.0
tesla,model 3 standard range,39990,41990.0
tesla,model s,105991,100000.0
tesla,model s signature,34990,87900.0
tesla,model x,149888,96630.0
volkswagen,e-golf,40190,39790.0
